LN_type,ORN_type,input_preference,n_ln_body_ids,source_LN_types,point_label,glomerulus,x_order,LN_type_mean_input_preference
lLN2T_d,ORN_DC2,0.6609195402298851,2,lLN2T_d,ORN_DC2,DC2,9,0.2698500688546035
lLN2T_d,ORN_DC4,-0.06666666666666665,2,lLN2T_d,ORN_DC4,DC4,9,0.2698500688546035
lLN2T_d,ORN_DL1,0.45149253731343286,2,lLN2T_d,ORN_DL1,DL1,9,0.2698500688546035
lLN2T_d,ORN_DL2d,0.2340942204953861,2,lLN2T_d,ORN_DL2d,DL2d,9,0.2698500688546035
lLN2T_d,ORN_DL2v,0.34508461987373334,2,lLN2T_d,ORN_DL2v,DL2v,9,0.2698500688546035
lLN2T_d,ORN_DL5,0.3076923076923077,1,lLN2T_d,ORN_DL5,DL5,9,0.2698500688546035
lLN2T_d,ORN_DM1,0.29777354931043454,2,lLN2T_d,ORN_DM1,DM1,9,0.2698500688546035
lLN2T_d,ORN_DM2,0.3049378492416467,2,lLN2T_d,ORN_DM2,DM2,9,0.2698500688546035
lLN2T_d,ORN_DM3,0.2828169715067811,2,lLN2T_d,ORN_DM3,DM3,9,0.2698500688546035
lLN2T_d,ORN_DM4,0.03667973068033363,2,lLN2T_d,ORN_DM4,DM4,9,0.2698500688546035
lLN2T_d,ORN_DM6,0.3050584586017657,2,lLN2T_d,ORN_DM6,DM6,9,0.2698500688546035
lLN2T_d,ORN_DP1l,0.2991876110687992,2,lLN2T_d,ORN_DP1l,DP1l,9,0.2698500688546035
lLN2T_d,ORN_DP1m,0.4242032156788127,2,lLN2T_d,ORN_DP1m,DP1m,9,0.2698500688546035
lLN2T_d,ORN_VA3,-0.06666666666666665,2,lLN2T_d,ORN_VA3,VA3,9,0.2698500688546035
lLN2T_d,ORN_VC1,0.7272727272727273,1,lLN2T_d,ORN_VC1,VC1,9,0.2698500688546035
lLN2T_d,ORN_VC3l,0.08705882352941177,2,lLN2T_d,ORN_VC3l,VC3l,9,0.2698500688546035
lLN2T_d,ORN_VL2a,0.2770605759682224,2,lLN2T_d,ORN_VL2a,VL2a,9,0.2698500688546035
lLN2T_d,ORN_VL2p,0.23214285714285715,2,lLN2T_d,ORN_VL2p,VL2p,9,0.2698500688546035
lLN2T_d,ORN_VM7v,-0.2,1,lLN2T_d,ORN_VM7v,VM7v,9,0.2698500688546035
v2LN35,ORN_DC1,0.09090909090909091,1,v2LN35,ORN_DC1,DC1,10,0.147389043977829
v2LN35,ORN_DC2,0.2,1,v2LN35,ORN_DC2,DC2,10,0.147389043977829
v2LN35,ORN_DC4,0.17757009345794392,1,v2LN35,ORN_DC4,DC4,10,0.147389043977829
v2LN35,ORN_DM1,0.0,1,v2LN35,ORN_DM1,DM1,10,0.147389043977829
v2LN35,ORN_DM2,-0.3333333333333333,1,v2LN35,ORN_DM2,DM2,10,0.147389043977829
v2LN35,ORN_DM3,0.25,1,v2LN35,ORN_DM3,DM3,10,0.147389043977829
v2LN35,ORN_DM4,0.2857142857142857,1,v2LN35,ORN_DM4,DM4,10,0.147389043977829
v2LN35,ORN_DM6,0.5,1,v2LN35,ORN_DM6,DM6,10,0.147389043977829
v2LN35,ORN_DP1m,0.6363636363636364,1,v2LN35,ORN_DP1m,DP1m,10,0.147389043977829
v2LN35,ORN_VM7v,-0.3333333333333333,1,v2LN35,ORN_VM7v,VM7v,10,0.147389043977829
lLN12A,ORN_DC1,0.0,1,lLN12A,ORN_DC1,DC1,11,0.1183020683020683
lLN12A,ORN_DC2,0.22727272727272727,2,lLN12A,ORN_DC2,DC2,11,0.1183020683020683
lLN12A,ORN_DC4,0.05555555555555558,2,lLN12A,ORN_DC4,DC4,11,0.1183020683020683
lLN12A,ORN_DM1,0.0,1,lLN12A,ORN_DM1,DM1,11,0.1183020683020683
lLN12A,ORN_VC1,0.12698412698412698,2,lLN12A,ORN_VC1,VC1,11,0.1183020683020683
lLN12A,ORN_VM7v,0.3,2,lLN12A,ORN_VM7v,VM7v,11,0.1183020683020683
lLN2P_c,ORN_DA1,0.15978925973470262,4,lLN2P_c,ORN_DA1,DA1,12,0.09080559755221881
lLN2P_c,ORN_DC1,-0.05969477801928452,5,lLN2P_c,ORN_DC1,DC1,12,0.09080559755221881
lLN2P_c,ORN_DC2,0.38617735362710376,5,lLN2P_c,ORN_DC2,DC2,12,0.09080559755221881
lLN2P_c,ORN_DC4,0.005420194020844565,4,lLN2P_c,ORN_DC4,DC4,12,0.09080559755221881
lLN2P_c,ORN_DL1,-0.12316017316017315,4,lLN2P_c,ORN_DL1,DL1,12,0.09080559755221881
lLN2P_c,ORN_DL2d,-0.26666666666666666,2,lLN2P_c,ORN_DL2d,DL2d,12,0.09080559755221881
lLN2P_c,ORN_DL2v,0.15185185185185188,3,lLN2P_c,ORN_DL2v,DL2v,12,0.09080559755221881
lLN2P_c,ORN_DL3,-0.5483870967741935,1,lLN2P_c,ORN_DL3,DL3,12,0.09080559755221881
lLN2P_c,ORN_DL4,0.21758708581138486,2,lLN2P_c,ORN_DL4,DL4,12,0.09080559755221881
lLN2P_c,ORN_DL5,0.45765345765345766,3,lLN2P_c,ORN_DL5,DL5,12,0.09080559755221881
lLN2P_c,ORN_DM1,0.243946583209943,6,lLN2P_c,ORN_DM1,DM1,12,0.09080559755221881
lLN2P_c,ORN_DM2,0.24375,4,lLN2P_c,ORN_DM2,DM2,12,0.09080559755221881
lLN2P_c,ORN_DM3,0.08707609594706368,4,lLN2P_c,ORN_DM3,DM3,12,0.09080559755221881
lLN2P_c,ORN_DM4,0.058857808857808856,4,lLN2P_c,ORN_DM4,DM4,12,0.09080559755221881
lLN2P_c,ORN_DM6,0.1517198248905566,3,lLN2P_c,ORN_DM6,DM6,12,0.09080559755221881
lLN2P_c,ORN_DP1l,-0.13675213675213674,3,lLN2P_c,ORN_DP1l,DP1l,12,0.09080559755221881
lLN2P_c,ORN_DP1m,0.34444444444444444,5,lLN2P_c,ORN_DP1m,DP1m,12,0.09080559755221881
lLN2P_c,ORN_VC1,0.37362637362637363,5,lLN2P_c,ORN_VC1,VC1,12,0.09080559755221881
