root_id,analysis_body_ids,analysis_instances,analysis_hemispheres,analysis_neuropils,primary_flywire_name,comparison_name,recommended_match_group,hemibrain_type_names,hemibrain_family_names,all_names,cell_type,hemibrain_type,user_tags,flow,super_class,cell_class,cell_sub_class,morphology_group,side,top_nt,top_nt_conf,known_nt,known_nt_source
720575940632000993,7205759406320009931,CB1546_L,L,AL_L,CB1546,CB1546,CB1546,,,AL local neuron;ALLN;CB1546,CB1546,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,gaba,0.5440559969229407,,
720575940640020944,7205759406400209442,CB1546_R,R,AL_R,CB1546,CB1546,CB1546,,,AL local neuron;ALLN;CB1546,CB1546,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,right,gaba,0.5556076463888863,,
720575940641609869,7205759406416098691,CB1546_L,L,AL_L,CB1546,CB1546,CB1546,,,AL local neuron;ALLN;CB1546,CB1546,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,gaba,0.5890541668257242,,
720575940604662700,7205759406046627001;7205759406046627002,CB1668_L;CB1668_R,L;R,AL_L;AL_R,CB1668,CB1668,CB1668,,,AL local neuron;ALLN;ALv2;CB1668;acetylcholine;left,CB1668,,"AL local neuron,ALLN;ALv2; left; acetylcholine",intrinsic,central,ALLN,,ALv2__1,right,acetylcholine,0.3285957297897379,,
720575940605101758,7205759406051017581;7205759406051017582,CB1668_L;CB1668_R,L;R,AL_L;AL_R,CB1668,CB1668,CB1668,,,AL local neuron;ALLN;ALv2;CB1668;glutamate;right,CB1668,,"AL local neuron,ALLN;ALv2; right; glutamate",intrinsic,central,ALLN,,ALv2__1,left,glutamate,0.4332517011015527,,
720575940622224836,7205759406222248361;7205759406222248362,CB1668_L;CB1668_R,L;R,AL_L;AL_R,CB1668,CB1668,CB1668,,,AL local neuron;ALLN;ALv2;CB1668;glutamate;right,CB1668,,"AL local neuron,ALLN;ALv2; right; glutamate",intrinsic,central,ALLN,,ALv2__1,left,glutamate,0.4427756134965082,,
720575940622592099,7205759406225920991;7205759406225920992,CB1668_L;CB1668_R,L;R,AL_L;AL_R,CB1668,CB1668,CB1668,,,AL local neuron;ALLN;ALv2;CB1668;glutamate;left,CB1668,,"AL local neuron,ALLN;ALv2; left; glutamate",intrinsic,central,ALLN,,ALv2__1,right,glutamate,0.5410057066705198,,
720575940624012692,7205759406240126921;7205759406240126922,CB1668_L;CB1668_R,L;R,AL_L;AL_R,CB1668,CB1668,CB1668,,,AL local neuron;ALLN;ALv1;CB1668;left,CB1668,,"AL local neuron,ALLN;ALv1; left",intrinsic,central,ALLN,,ALv2__1,right,acetylcholine,0.4549383056974161,,
720575940624549820,7205759406245498201;7205759406245498202,CB1668_L;CB1668_R,L;R,AL_L;AL_R,CB1668,CB1668,CB1668,,,AL local neuron;ALLN;ALv2;CB1668;glutamate;left,CB1668,,"AL local neuron,ALLN;ALv2; left; glutamate",intrinsic,central,ALLN,,ALv2__1,right,glutamate,0.5031653289306242,,
720575940625119625,7205759406251196251;7205759406251196252,CB1668_L;CB1668_R,L;R,AL_L;AL_R,CB1668,CB1668,CB1668,,,AL local neuron;ALLN;ALv2;CB1668;glutamate;right,CB1668,,"AL local neuron,ALLN;ALv2; right; glutamate",intrinsic,central,ALLN,,ALv2__1,left,glutamate,0.4544144745070239,,
