target_group,bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo,target_type,target_instance
PD2a1_b1,578556621,5813089504,1,SIP035,LHPD2b1_a,SIP035_R,LHPD2b1_a_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SIP(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,578893446,509928512,1,SIP016,LHPD2b1_a,SIP016_R,LHPD2b1_a_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SMP(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,578893446,5813089504,1,SIP016,LHPD2b1_a,SIP016_R,LHPD2b1_a_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SIP(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,579169195,548872750,1,SLP237,LHPD2b1_a,SLP237_R,LHPD2b1_a_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,579169195,640963556,1,SLP237,LHPD2a1,SLP237_R,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,579562628,571666400,1,LHAV6a1_b,LHPD2b1_b,LHAV6a1_b_R,LHPD2b1_b_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,579575594,509928512,1,LHPV5e3,LHPD2b1_a,LHPV5e3_R,LHPD2b1_a_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SMP(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,579596940,542634516,1,SIP016,LHPD2a1,SIP016_R,LHPD2a1_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SIP(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,579596940,571666400,1,SIP016,LHPD2b1_b,SIP016_R,LHPD2b1_b_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SMP(R)': {'pre': 1, 'post': 1}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,579912201,509928512,1,LHCENT5,LHPD2b1_a,LHCENT5_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 1, 'post': 1}, 'CA(R)': {'pre': 1, 'post': 1}, 'MB(+ACA)(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,579912201,571666400,1,LHCENT5,LHPD2b1_b,LHCENT5_R,LHPD2b1_b_R,"{'MB(R)': {'pre': 1, 'post': 1}, 'CA(R)': {'pre': 1, 'post': 1}, 'MB(+ACA)(R)': {'pre': 1, 'post': 1}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,579916831,509928512,1,MBON15-like,LHPD2b1_a,MBON15-like(a'1a'2)_R,LHPD2b1_a_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,579916831,571666400,1,MBON15-like,LHPD2b1_b,MBON15-like(a'1a'2)_R,LHPD2b1_b_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SMP(R)': {'pre': 1, 'post': 1}}",LHPD2b1_b,LHPD2b1_b_R
