target_group,bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo,target_type,target_instance
PD2a1_b1,697132371,571666434,4,VM2_adPN,LHPD2a1,VM2_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 4, 'post': 4}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,754534424,548872750,4,DA1_lPN,LHPD2b1_a,DA1_lPN_R,LHPD2b1_a_R,"{'LH(R)': {'pre': 1, 'post': 1}, 'MB(R)': {'pre': 3, 'post': 3}, 'CA(R)': {'pre': 3, 'post': 3}, 'MB(+ACA)(R)': {'pre': 3, 'post': 3}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,755518957,571666400,4,DM3_adPN,LHPD2b1_b,DM3_adPN_R,LHPD2b1_b_R,"{'LH(R)': {'pre': 4, 'post': 4}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,755518957,5813089504,4,DM3_adPN,LHPD2b1_a,DM3_adPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 4, 'post': 4}, 'CA(R)': {'pre': 4, 'post': 4}, 'MB(+ACA)(R)': {'pre': 4, 'post': 4}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,788306624,548872750,4,DM6_adPN,LHPD2b1_a,DM6_adPN_R,LHPD2b1_a_R,"{'LH(R)': {'pre': 3, 'post': 3}, 'MB(R)': {'pre': 1, 'post': 1}, 'CA(R)': {'pre': 1, 'post': 1}, 'MB(+ACA)(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,1692817033,571666434,4,VA7l_adPN,LHPD2a1,VA7l_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 4, 'post': 4}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,1692817033,573337611,4,VA7l_adPN,LHPD2a1,VA7l_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 4, 'post': 4}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,1764091241,548872750,4,DM6_adPN,LHPD2b1_a,DM6_adPN_R,LHPD2b1_a_R,"{'LH(R)': {'pre': 2, 'post': 2}, 'MB(R)': {'pre': 2, 'post': 2}, 'CA(R)': {'pre': 2, 'post': 2}, 'MB(+ACA)(R)': {'pre': 2, 'post': 2}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,1851389175,573337611,4,VM3_adPN,LHPD2a1,VM3_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 4, 'post': 4}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,1851389175,5813089504,4,VM3_adPN,LHPD2b1_a,VM3_adPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 4, 'post': 4}, 'CA(R)': {'pre': 4, 'post': 4}, 'MB(+ACA)(R)': {'pre': 4, 'post': 4}}",LHPD2b1_a,LHPD2b1_a_R
